,revenue
2065,12342632
381,62172050
2665,71624879
2515,1851517
1449,30524763
222,31649
553,11081586
1991,6482195
2671,14202899
1579,121059225
750,50451307
2957,35431113
957,1479042
1952,14836
1737,120620
1202,17000000
309,110230332
1335,31000
2490,6800000
2979,77477008
99,46616067
2955,29536299
955,1832541
1431,9760104
588,5000000
2015,136000000
753,58853106
1646,35739755
2003,19165560
62,25232289
897,18432000
1465,32000000
1310,18000
171,2585639
1362,155545279
2153,519204
2692,40903593
1859,32726956
2198,179000
2032,25
1319,495303
1149,2750275
2322,1123746996
2543,12706478
2667,106371651
1258,6132924
2964,589244
1822,2826523
2599,250649836
1469,1317657
1183,8303261
2755,24332324
683,183293131
108,18535191
1884,23000000
1499,33245
2537,4811525
892,386749
719,190000
2571,126150
397,1919653
1828,56714147
1908,152427960
2448,56359980
2544,42792561
755,6000000
33,7171
1648,10300
1075,1984662
550,97837138
24,4947717
2233,55583804
87,32392047
256,203427584
119,18814720
2012,141220678
2787,157107755
1416,17530973
2187,3193102
1268,25605015
593,11176469
2154,9713500
2584,47000000
1401,212000000
2550,31911598
2074,404785
1338,7070330
2327,73326666
718,32710894
1528,21026290
2118,10011050
1552,135130999
2980,2500000
1665,235860116
1127,14010690
1461,442965
2580,45431
1586,232324128
2242,132820716
1899,355962
559,37799643
480,1300000
980,91188905
1301,204660
793,10959475
613,16980098
1750,6933459
2344,17800000
2946,1027757
459,25405445
2820,500000
406,14110589
174,29007412
2612,130786397
2690,69055695
742,4270000
160,113783
2949,6000000
2189,3200000
1585,12382362
2313,114956699
34,258022233
2324,132274484
1853,50504655
1753,20666
589,5684789
903,14134877
1870,10400000
2893,141000000
1888,11000000
1883,17137302
226,28931401
1964,7406
2552,250200000
2723,3566637
2617,611899420
2489,40120144
1037,35078241
1704,89162162
822,170128460
1488,10198357
289,11373501
1005,151493655
1359,3639345
1923,6000000
505,10759
2575,1000000
1444,34710627
200,144000000
1494,11947954
1755,9216
2534,54249294
2912,2616503
1526,63781810
263,14000
1237,4491986
2188,1980338
2990,7240837
1316,21930418
2036,355237933
921,11642254
2681,1702394
2303,53267000
835,1305887
1817,33700
513,101646581
1763,2500000
277,164000000
2924,2402067
472,174999005
2183,918239
1010,140795793
2975,57881056
378,19478106
1219,1296184
1307,144633
2959,4600000
1350,5200000
1858,7096000
549,238073
1743,20915465
384,100230832
293,310724
367,1644060
2079,263000
2697,11000000
1253,57252
2462,6212282
1715,369907963
1901,251058
1448,5129058
1221,7185518
875,50159144
317,286140700
763,531865000
1707,17432163
1595,102617
1269,4371000
2567,41000000
2926,41098065
107,210000000
2802,876688482
1140,229400000
2943,28921264
2793,217022588
1635,13273595
1915,3462
10,117235147
694,5979292
785,764083
2653,54215416
153,52425855
1546,519535
787,253527
512,2500000
2218,7659918
2661,100525432
2803,33082548
2026,10499694
2998,171963386
2792,77628265
747,11122090
1021,108000000
1120,32222567
1609,1929168
856,10000000
1998,119940815
1675,7237794
1808,217201
1566,11000
408,40485039
1265,28208
462,171120329
1670,24145613
772,5926128
1374,12803305
262,17636261
327,60965854
941,758539785
1532,59389433
872,3106835
1902,230685453
1506,320092
336,117698894
2524,396003
2954,13395939
551,104399548
1425,391081192
942,4635300
1924,415252786
236,5600000
1312,90259536
2785,10000000
1455,3752426
32,146936910
899,19000000
1153,60641
2381,494506
290,254700832
2897,16991902
53,17514553
307,22678555
2765,11990401
2724,32721635
1088,4367497
206,1543112
721,62852
1905,15429177
1559,9479718
2323,7940
1472,153698625
2732,485772
2211,136400000
453,12534961
1452,65884703
652,49501
2886,202000
82,91974818
1122,59612888
2740,162360636
886,306
2076,4542
1805,33461269
2155,19800000
2024,34560577
1601,215529201
1045,320145693
602,117487473
1823,173066
1909,1179002
697,265452
688,11294
2347,230698791
2331,35057696
2870,176070171
1647,78054825
442,832735
1687,1718328
360,3162153
2030,112892319
214,1969193
2035,550000000
412,97594140
970,10000000
103,5310554
1695,224511319
2300,8176544
2207,261317921
2395,248392
2563,17000000
2463,106498
1987,13200241
1844,1046166
2080,98185582
1801,9247881
1328,1373728
1491,22159216
1726,39673161
2239,91000000
2658,25147055
409,4104962
2986,16605763
1327,27122040
227,26096852
1911,67821
710,9504139
2017,8138788
998,164433867
255,7800000
1516,163670000
890,8125592
1861,714766572
499,473226958
2305,51680201
2194,93282604
47,155760117
2634,3554460
140,14000000
2675,1862805
496,3600000
2894,218626
2009,340312
2186,176153
443,4300000
345,14681192
228,638641
1955,243240178
621,837000
2535,214104620
1876,742898
427,2012927
172,12000000
866,8000000
2160,17671101
2064,129115
2169,23800000
2527,44349000
1697,21621000
1850,6538177
2326,783112979
2514,192330738
789,95311434
1138,30
1810,2293798
2260,111731
2394,147934180
64,17654912
929,42365581
161,12277096
2352,79666653
2288,6101904
2929,50907422
519,28258060
1724,27634716
839,9797098
2320,21170563
460,203781
2824,46264384
343,88000
1354,422
444,47748
21,36690067
1950,85416905
2434,104507
2554,152961
1191,46089287
1830,309457509
1862,66002004
2238,5820015
1106,2300000
1464,55635037
2298,179943
761,59209
1217,330444045
2816,2891288
2099,59754601
2482,56681566
1954,50021959
2440,56308881
1713,101191884
441,1986615
2695,10000000
2366,59700000
1606,161789
115,41604473
1644,34522221
1470,1730000
1071,42776760
132,2452566
2432,580527
690,6000000
1558,5496951
2011,70200000
2387,886686817
2830,665450
291,5367030
2177,61141030
667,340911
1405,36894225
749,84565230
2253,307076
2302,65335
1779,70906973
2502,28215918
2663,107597242
2693,33456317
1714,2091037
1639,78247647
1415,20374201
2413,660537
2930,30857814
1348,14717854
415,149705852
2582,8
1878,53086
1865,85241496
2103,107217396
1351,29907685
1522,243000
2969,87754044
1809,163794509
1095,352194034
573,10013424
1788,104931801
2679,23057115
1386,9450897
2343,2400000
826,64076736
2158,34808403
2159,76578641
2662,500000
2105,426224
319,68706993
848,18000000
2414,61801971
2750,14980005
478,22165608
581,461162
2480,18800000
2598,7241180
1162,31063038
2038,43848069
2764,1268395
7,2586511
1023,19910002
2881,165478348
1548,500000
1451,413454
1953,31899000
1406,4314688
1501,26828365
1314,6341855
2879,21300000
122,5585154
971,318000141
562,196482882
1213,2744253
564,930349
838,16803753
2317,41895491
1615,210819611
2406,65046687
1976,52099090
301,2850000
2972,8685526
693,2450846
917,3662459
351,116019547
2143,15179302
1771,16700000
699,124827316
869,28000000
2023,7897645
2062,288500217
1802,42886719
1205,50244700
1610,9902115
2476,212385533
2917,57041866
1252,17381942
2635,22424195
2890,83080890
2553,3721911
2150,3919731
2849,16810383
2464,424208848
279,217764291
1983,4176932
2581,32556119
1649,2697930
2241,41744718
1422,57284237
1077,22471595
11,22642033
1592,11000000
2853,9190819
865,9448082
691,11560806
1124,408579038
1251,296000000
1818,649398328
1300,116980662
2334,22896728
2336,66132626
882,149217355
745,19777647
269,20
1293,151161491
144,11000000
2508,14624826
1616,11500000
495,11838218
2427,1347988
1717,242688965
2637,2303
2299,264118201
